serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played,avrg
487,Zaidu,Porto,Defender,73.7,152,112,25,8,2,3,6,54.22
487,Maceiras,Young Boys,Defender,73.7,57,47,0,7,0,1,3,44.22
489,Gnabry,Bayern,Forward,73.6,231,194,20,10,2,0,8,52.16
489,Ikoné,LOSC,Midfielder,73.6,97,75,0,0,0,1,5,44.16
489,Felipe,Atlético,Defender,73.6,195,168,0,0,0,5,7,44.16
492,Rafael Leão,Milan,Forward,73.5,57,42,27,11,3,0,4,54.9
493,Köhn,Salzburg,Goalkeeper,73.4,220,156,0,0,0,25,8,44.04
494,Cristiano,Sheriff,Defender,73.3,159,117,42,21,9,4,6,60.78
494,Trippier,Atlético,Defender,73.3,95,70,20,5,1,2,3,51.98
496,Batshuayi,Beşiktaş,Forward,73.2,88,66,0,2,0,0,5,43.92
497,De Ketelaere,Club Brugge,Forward,73,157,116,30,13,4,2,6,55.8
497,N. Williams,Liverpool,Defender,73,100,76,42,7,3,1,3,60.6
497,Von Ballmoos,Young Boys,Goalkeeper,73,85,59,0,0,0,5,3,43.8
497,Dembélé,Barcelona,Forward,73,57,41,20,10,2,0,3,51.8
501,Džeko,Inter,Forward,72.9,157,116,0,6,0,1,7,43.74
502,M. Olsson,Malmö,Defender,72.8,105,82,12,8,1,5,6,48.48
503,Mukiele,Leipzig,Defender,72.7,196,144,13,15,2,10,6,48.82
504,Asensio,Real Madrid,Forward,72.6,89,75,25,4,1,1,8,53.56
505,Angeliño,Leipzig,Defender,72.4,180,132,26,30,8,10,5,53.84
505,Sierro,Young Boys,Midfielder,72.4,114,86,60,5,3,4,5,67.44
505,Nikolov,Sheriff,Midfielder,72.4,27,24,0,0,0,0,5,43.44
508,Yansané,Sheriff,Forward,72.3,37,31,0,0,0,0,3,43.38
509,Rakip,Malmö,Midfielder,72.2,67,48,50,2,1,4,6,63.32
510,Maignan,Milan,Goalkeeper,72,114,83,0,0,0,11,3,43.2
511,Feddal,Sporting CP,Defender,71.5,259,229,0,0,0,7,6,42.9
511,Sarabia,Sporting CP,Forward,71.5,140,98,53,13,7,4,8,64.1
511,Kolovos,Sheriff,Midfielder,71.5,88,66,0,1,0,0,6,42.9
511,Slimani,Sporting CP,Forward,71.5,23,17,0,1,0,0,2,42.9
515,Casteels,Wolfsburg,Goalkeeper,71.4,182,129,0,0,0,10,5,42.84
516,Lang,Club Brugge,Forward,71.3,214,152,4,24,1,8,6,44.38
517,Bushchan,Dynamo Kyiv,Goalkeeper,71,200,142,0,0,0,18,5,42.6
518,Lefort,Young Boys,Defender,70.7,95,65,50,4,2,2,3,62.42
