serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played,avrg
125,Rabiot,Juventus,Midfielder,89,267,243,20,5,1,0,7,61.4
125,Mingueza,Barcelona,Defender,89,140,119,18,11,2,7,5,60.6
125,Toni Martínez,Porto,Forward,89,20,16,0,2,0,0,6,53.4
130,Lovren,Zenit,Defender,88.8,159,141,50,2,1,5,4,73.28
131,Gueye,Paris,Midfielder,88.7,209,190,33,3,1,2,7,66.42
131,Ter Stegen,Barcelona,Goalkeeper,88.7,213,188,0,0,0,12,6,53.22
131,Kjær,Milan,Defender,88.7,134,119,0,0,0,4,3,53.22
131,Mechele,Club Brugge,Defender,88.7,38,32,0,0,0,1,3,53.22
135,Fonte,LOSC,Defender,88.5,369,328,0,0,0,14,8,53.1
135,Morato,Benfica,Defender,88.5,134,121,0,0,0,2,2,53.1
135,Hutchinson,Beşiktaş,Midfielder,88.5,90,77,50,2,1,3,4,73.1
135,Krunić,Milan,Midfielder,88.5,90,77,0,0,0,1,4,53.1
139,Sterling,Man. City,Forward,88.4,206,185,12,8,1,1,12,57.84
140,Mbemba,Porto,Defender,88.2,215,192,100,2,2,10,5,92.92
140,Dodô,Shakhtar Donetsk,Defender,88.2,289,256,10,10,1,11,6,56.92
142,João Cancelo,Man. City,Defender,88,668,586,20,29,6,11,9,60.8
142,Pau Torres,Villarreal,Defender,88,506,457,0,0,0,16,12,52.8
142,Azpilicueta,Chelsea,Defender,88,491,434,15,19,3,3,9,58.8
142,Zinchenko,Man. City,Defender,88,356,314,23,13,3,4,8,62
142,Botman,LOSC,Defender,88,248,220,0,0,0,13,5,52.8
142,Varane,Man. United,Defender,88,245,222,0,0,0,6,5,52.8
142,Alex Telles,Man. United,Defender,88,179,164,21,33,7,12,4,61.2
142,Pedrinho,Shakhtar Donetsk,Midfielder,88,170,150,50,4,2,0,4,72.8
142,Neres,Ajax,Forward,88,104,91,57,7,4,0,5,75.6
142,Morton,Liverpool,Midfielder,88,76,67,0,0,0,2,2,52.8
142,Onana,Ajax,Goalkeeper,88,56,49,0,0,0,4,2,52.8
142,Hateboer,Atalanta,Defender,88,33,29,33,3,1,0,1,66
154,Keïta,Liverpool,Midfielder,87.9,354,313,0,4,0,5,10,52.74
155,Camavinga,Real Madrid,Midfielder,87.7,179,158,0,1,0,7,10,52.62
155,Demir,Barcelona,Midfielder,87.7,47,39,0,0,0,0,3,52.62
157,De Ligt,Juventus,Defender,87.6,346,307,100,1,1,8,7,92.56
158,Éder Militão,Real Madrid,Defender,87.5,643,563,0,2,0,17,12,52.5
158,Kobel,Dortmund,Goalkeeper,87.5,175,152,0,0,0,8,6,52.5
158,Lewicki,Malmö,Midfielder,87.5,62,54,0,1,0,0,2,52.5
161,Tomori,Milan,Defender,87.4,194,169,0,0,0,3,5,52.44
161,Gravenberch,Ajax,Midfielder,87.4,386,342,0,9,0,9,8,52.44
163,Shaparenko,Dynamo Kyiv,Midfielder,87.3,321,287,44,9,4,17,6,69.98
163,Carvajal,Real Madrid,Defender,87.3,576,503,34,23,8,11,11,65.98
165,Souza,Beşiktaş,Midfielder,87.2,267,237,0,1,0,13,5,52.32
165,Onguéné,Salzburg,Defender,87.2,242,213,0,0,0,10,5,52.32
165,Bernardeschi,Juventus,Midfielder,87.2,131,111,38,18,7,7,5,67.52
165,Capoue,Villarreal,Midfielder,87.2,491,438,50,2,1,4,12,72.32
165,Cuadrado,Juventus,Midfielder,87.2,256,226,32,28,9,3,7,65.12
165,Grealish,Man. City,Midfielder,87.2,243,214,40,5,2,3,7,68.32
165,Ronaldo,Man. United,Forward,87.2,204,179,60,5,3,4,7,76.32
172,Akanji,Dortmund,Defender,87,299,262,0,1,0,9,5,52.2
172,Sydorchuk,Dynamo Kyiv,Midfielder,87,297,262,0,1,0,13,6,52.2
172,Coates,Sporting CP,Defender,87,240,211,0,0,0,10,6,52.2
172,Camara,Young Boys,Defender,87,208,185,0,0,0,4,4,52.2
172,Dybala,Juventus,Forward,87,178,156,11,9,1,3,5,56.6
172,Zagadou,Dortmund,Defender,87,111,103,100,1,1,0,2,92.2
172,Pedri,Barcelona,Midfielder,87,103,90,0,1,0,2,2,52.2
179,Mazraoui,Ajax,Defender,86.9,385,338,36,19,7,7,8,66.54
179,Alex Sandro,Juventus,Defender,86.9,325,284,14,7,1,11,7,57.74
181,Bellingham,Dortmund,Midfielder,86.8,281,246,28,7,2,4,6,63.28
181,Sané,Bayern,Midfielder,86.8,398,346,26,19,5,8,10,62.48
181,Hummels,Dortmund,Defender,86.8,310,277,0,0,0,3,5,52.08
181,Tolisso,Bayern,Midfielder,86.8,197,178,0,2,0,6,4,52.08
181,Ibrahimović,Milan,Forward,86.8,49,40,100,1,1,2,4,92.08
186,Davies,Bayern,Midfielder,86.7,278,236,26,15,4,4,7,62.42
186,Fati,Barcelona,Forward,86.7,74,64,50,2,1,1,3,72.02
186,Alex Teixeira,Beşiktaş,Midfielder,86.7,50,44,0,0,0,0,3,52.02
189,Walker,Man. City,Defender,86.6,397,347,9,11,1,2,7,55.56
190,Camara,Salzburg,Midfielder,86.5,369,325,0,1,0,18,8,51.9
190,Tetê,Shakhtar Donetsk,Forward,86.5,129,110,0,4,0,0,6,51.9
190,Mudryk,Shakhtar Donetsk,Midfielder,86.5,69,54,9,11,1,0,6,55.5
193,Romagnoli,Milan,Defender,86.4,221,192,0,1,0,7,5,51.84
193,André Almeida,Benfica,Defender,86.4,103,82,33,3,1,7,5,65.04
195,Gvardiol,Leipzig,Defender,86.3,196,162,0,2,0,3,6,51.78
195,Nkunku,Leipzig,Midfielder,86.3,193,167,20,15,3,8,6,59.78
195,Mehmet Topal,Beşiktaş,Midfielder,86.3,81,70,0,0,0,1,3,51.78
195,Pulišić,Chelsea,Midfielder,86.3,123,106,25,4,1,0,7,61.78
195,Alonso,Chelsea,Defender,86.3,300,258,38,34,13,10,8,66.98
195,Jones,Liverpool,Midfielder,86.3,132,118,0,1,0,3,4,51.78
201,Henderson,Liverpool,Midfielder,86.2,602,530,35,17,6,6,12,65.72
201,Pasveer,Ajax,Goalkeeper,86.2,232,200,0,0,0,5,6,51.72
203,Havertz,Chelsea,Midfielder,86.1,248,210,66,3,2,0,9,78.06
204,Fernando,Sevilla,Midfielder,86,293,253,0,1,0,10,6,51.6
204,Ronald Araújo,Barcelona,Defender,86,192,167,33,3,1,9,5,64.8
204,Pepe,Porto,Defender,86,190,163,0,2,0,10,5,51.6
204,Ismaily,Shakhtar Donetsk,Defender,86,184,159,0,4,0,5,5,51.6
204,Dahoud,Dortmund,Midfielder,86,141,117,60,5,3,2,4,75.6
204,Jesus,Man. City,Forward,86,131,113,0,4,0,0,8,51.6
204,Haidara,Leipzig,Midfielder,86,123,106,0,0,0,3,4,51.6
211,Albiol,Villarreal,Defender,85.9,440,385,0,1,0,14,12,51.54
212,Bennacer,Milan,Midfielder,85.8,200,170,36,11,4,16,6,65.88
212,McKennie,Juventus,Midfielder,85.8,170,153,0,3,0,1,6,51.48
212,Klostermann,Leipzig,Defender,85.8,161,140,0,1,0,2,5,51.48
212,Sabitzer,Bayern,Midfielder,85.8,83,72,0,5,0,2,5,51.48
212,João Mário,Benfica,Midfielder,85.8,268,242,40,10,4,23,8,67.48
212,Montero,Beşiktaş,Defender,85.8,168,147,0,0,0,8,4,51.48
212,Greenwood,Man. United,Forward,85.8,143,123,40,5,2,0,4,67.48
219,Sancho,Man. United,Midfielder,85.7,202,176,0,4,0,0,7,51.42
219,Firmino,Liverpool,Midfielder,85.7,176,150,0,0,0,0,7,51.42
219,Goretzka,Bayern,Midfielder,85.7,338,307,33,3,1,5,6,64.62
219,Hakan Çalhanoğlu,Inter,Midfielder,85.7,262,225,47,34,16,4,6,70.22
219,Nsoki,Club Brugge,Defender,85.7,184,162,0,0,0,4,6,51.42
219,Chalobah,Chelsea,Defender,85.7,106,92,0,1,0,5,3,51.42
219,Fassnacht,Young Boys,Midfielder,85.7,86,73,16,6,1,1,3,57.82
226,Syrota,Dynamo Kyiv,Defender,85.6,224,194,0,0,0,4,5,51.36
226,Locatelli,Juventus,Midfielder,85.6,363,316,33,3,1,12,7,64.56
228,Aebischer,Young Boys,Midfielder,85.5,272,235,47,21,10,3,6,70.1
228,Diallo,Paris,Defender,85.5,117,103,0,0,0,1,2,51.3
228,Karavaev,Zenit,Defender,85.5,115,99,16,6,1,1,4,57.7
228,Dest,Barcelona,Defender,85.5,109,95,0,8,0,1,4,51.3
232,Guilavogui,Wolfsburg,Midfielder,85.4,215,184,0,0,0,5,5,51.24
232,Mbappé,Paris,Forward,85.4,257,220,13,15,2,0,8,56.44
232,Valverde,Real Madrid,Midfielder,85.4,395,336,20,15,3,1,11,59.24
235,Claudinho,Zenit,Midfielder,85.3,267,229,45,22,10,5,6,69.18
235,Oxlade-Chamberlain,Liverpool,Midfielder,85.3,165,141,20,10,2,5,6,59.18
235,Navas,Paris,Goalkeeper,85.3,101,86,0,0,0,9,3,51.18
235,Fernandinho,Man. City,Midfielder,85.3,291,254,40,5,2,12,8,67.18
235,De Sciglio,Juventus,Defender,85.3,144,126,30,23,7,0,4,63.18
240,Barella,Inter,Midfielder,85.2,306,265,50,8,4,5,6,71.12
240,Addo,Sheriff,Midfielder,85.2,137,118,0,0,0,2,6,51.12
242,Douglas Santos,Zenit,Defender,85,238,202,39,23,9,4,5,66.6
242,Mendy,Chelsea,Goalkeeper,85,208,173,0,0,0,7,9,51
242,João Palhinha,Sporting CP,Midfielder,85,194,165,0,1,0,14,6,51
242,Kessié,Milan,Midfielder,85,175,150,100,4,4,10,5,91
242,Brooks,Wolfsburg,Defender,85,167,143,0,0,0,13,4,51
242,Marcelo,Real Madrid,Defender,85,63,55,33,3,1,1,3,64.2
242,Lamela,Sevilla,Midfielder,85,54,46,20,5,1,2,4,59
249,Mahrez,Man. City,Midfielder,84.9,482,414,24,49,12,11,12,60.54
250,Fred,Man. United,Midfielder,84.8,262,224,50,2,1,5,6,70.88
250,Wan-Bissaka,Man. United,Defender,84.8,254,218,0,9,0,2,6,50.88
250,Arboleda,Sheriff,Defender,84.8,145,124,0,0,0,6,6,50.88
250,L. Nielsen,Malmö,Defender,84.8,162,140,0,0,0,4,5,50.88
250,Wendell,Porto,Defender,84.8,52,42,0,0,0,3,4,50.88
255,Tsygankov,Dynamo Kyiv,Midfielder,84.7,174,148,22,9,2,3,6,59.62
256,Solet,Salzburg,Defender,84.6,142,123,0,0,0,6,5,50.76
257,Malcom,Zenit,Forward,84.5,179,149,23,21,5,5,6,59.9
257,Chiesa,Juventus,Forward,84.5,90,77,25,12,3,1,4,60.7
257,Kondogbia,Atlético,Midfielder,84.5,242,209,0,1,0,9,9,50.7
260,Rosier,Beşiktaş,Defender,84.4,177,150,14,14,2,3,5,56.24
261,Parejo,Villarreal,Midfielder,84.3,657,560,56,37,21,52,12,72.98
261,Otamendi,Benfica,Defender,84.3,380,328,0,1,0,14,9,50.58
261,Guerreiro,Dortmund,Defender,84.3,129,111,0,4,0,4,3,50.58
264,Coman,Bayern,Forward,84.2,329,271,30,42,13,0,9,62.52
264,Mykolenko,Dynamo Kyiv,Defender,84.2,201,171,22,9,2,6,5,59.32
264,Freuler,Atalanta,Midfielder,84.2,360,307,33,3,1,11,6,63.72
264,Neymar,Paris,Forward,84.2,259,223,0,5,0,5,6,50.52
264,Hendry,Club Brugge,Defender,84.2,175,148,0,1,0,9,6,50.52
269,Matheus Reis,Sporting CP,Defender,84.1,224,192,16,6,1,6,8,56.86
270,Jordi Alba,Barcelona,Defender,84,301,251,30,30,9,7,5,62.4
270,Szczęsny,Juventus,Goalkeeper,84,176,145,0,0,0,8,7,50.4
270,Ugarte,Sporting CP,Midfielder,84,74,65,50,2,1,3,4,70.4
270,Lustenberger,Young Boys,Defender,84,68,57,0,1,0,1,1,50.4
270,Coutinho,Barcelona,Forward,84,66,52,0,3,0,1,4,50.4
270,Meite,Benfica,Midfielder,84,41,35,0,0,0,3,3,50.4
270,Messias Junior,Milan,Forward,84,35,26,25,4,1,2,2,60.4
270,M. Kerzhakov,Zenit,Goalkeeper,84,33,27,0,0,0,1,2,50.4
278,Blind,Ajax,Defender,83.9,439,368,53,15,8,17,8,71.54
278,Mount,Chelsea,Midfielder,83.9,268,225,25,27,7,2,7,60.34
280,Vanaken,Club Brugge,Midfielder,83.8,288,241,100,1,1,7,6,90.28
280,Forsberg,Leipzig,Forward,83.8,164,132,53,13,7,5,6,71.48
280,André Silva,Leipzig,Forward,83.8,99,82,66,3,2,1,6,76.68
280,Gómez,Sevilla,Forward,83.8,176,148,13,15,2,1,5,55.48
280,Donnarumma,Paris,Goalkeeper,83.8,153,128,0,0,0,13,5,50.28
280,Luis Díaz,Liverpool,Forward,83.8,341,282,18,11,2,0,13,57.48
286,Matheus Nunes,Sporting CP,Midfielder,83.7,211,177,0,0,0,11,6,50.22
287,Nuno Mendes,Paris,Defender,83.6,258,220,16,12,2,3,8,56.56
287,Lucas Vázquez,Real Madrid,Midfielder,83.6,239,207,25,12,3,2,8,60.16
287,Palomino,Atalanta,Defender,83.6,245,207,0,0,0,12,5,50.16
287,Brandt,Dortmund,Midfielder,83.6,240,198,26,19,5,5,5,60.56
291,Jesús Navas,Sevilla,Defender,83.5,249,209,31,19,6,3,4,62.5
291,Schulz,Dortmund,Defender,83.5,129,110,100,3,3,1,4,90.1
291,Uribe,Porto,Midfielder,83.5,112,96,0,1,0,2,4,50.1
291,Taarabt,Benfica,Midfielder,83.5,149,127,0,4,0,6,9,50.1
295,Tiago Djaló,LOSC,Defender,83.4,276,236,0,3,0,3,7,50.04
295,Musiala,Bayern,Midfielder,83.4,168,141,0,2,0,0,8,50.04
297,Pjanic,Beşiktaş,Midfielder,83.3,216,182,60,10,6,19,3,73.98
297,Ranocchia,Inter,Defender,83.3,38,31,0,0,0,2,3,49.98
297,Vertonghen,Benfica,Defender,83.3,424,360,0,1,0,9,10,49.98
297,Tolói,Atalanta,Defender,83.3,231,189,50,10,5,5,4,69.98
301,Estupiñán,Villarreal,Defender,83.2,282,229,28,14,4,3,10,61.12
301,Moumi Ngamaleu,Young Boys,Midfielder,83.2,192,159,11,18,2,1,6,54.32
301,Moi Gómez,Villarreal,Midfielder,83.2,83,62,25,4,1,0,6,59.92
304,Benzema,Real Madrid,Forward,83.1,523,433,20,10,2,4,12,57.86
304,Vinícius Júnior,Real Madrid,Forward,83.1,451,377,31,19,6,0,13,62.26
306,Ahmedhodžić,Malmö,Defender,83,225,191,0,0,0,10,5,49.8
306,Reus,Dortmund,Midfielder,83,215,182,7,14,1,8,6,52.6
306,Bentancur,Juventus,Midfielder,83,206,176,0,4,0,0,5,49.8
306,Djimsiti,Atalanta,Defender,83,191,160,100,1,1,6,5,89.8
306,Pogba,Man. United,Midfielder,83,191,157,66,3,2,2,6,76.2
306,Verissimo,Benfica,Defender,83,111,93,0,0,0,6,3,49.8
306,Trubin,Shakhtar Donetsk,Goalkeeper,83,94,78,0,0,0,5,3,49.8
306,Vormer,Club Brugge,Midfielder,83,80,68,20,10,2,5,4,57.8
306,N'Koudou,Beşiktaş,Midfielder,83,41,34,0,1,0,0,1,49.8
306,L. de Jong,Barcelona,Forward,83,35,29,0,0,0,0,3,49.8
316,Onana,LOSC,Midfielder,82.8,95,76,0,0,0,1,8,49.68
316,Abubakari,Malmö,Forward,82.8,33,26,0,1,0,0,4,49.68
318,De Bruyne,Man. City,Midfielder,82.6,397,334,26,41,11,18,10,59.96
319,Lo Celso,Villarreal,Midfielder,82.5,204,170,0,3,0,1,6,49.5
319,Lingard,Man. United,Midfielder,82.5,49,42,0,0,0,0,4,49.5
321,David,LOSC,Forward,82.4,148,122,100,3,3,1,8,89.44
322,Faivre,Young Boys,Goalkeeper,82.3,122,100,0,0,0,2,3,49.38
322,Moreno,Villarreal,Defender,82.3,135,110,100,2,2,2,7,89.38
322,Herrera,Atlético,Midfielder,82.3,121,102,0,6,0,6,4,49.38
322,Van de Beek,Man. United,Midfielder,82.3,117,102,0,0,0,1,4,49.38
322,Chilwell,Chelsea,Defender,82.3,87,71,26,15,4,1,4,59.78
327,Malinovskyi,Atalanta,Midfielder,82.2,143,114,41,31,13,6,5,65.72
327,Bounou,Sevilla,Goalkeeper,82.2,185,152,0,1,0,12,6,49.32
329,Foyth,Villarreal,Defender,82.1,347,290,0,1,0,8,10,49.26
330,André,LOSC,Midfielder,82,352,289,0,4,0,7,7,49.2
330,Berghuis,Ajax,Forward,82,277,229,32,28,9,2,8,62
330,Coquelin,Villarreal,Midfielder,82,150,124,50,2,1,1,8,69.2
330,Kędziora,Dynamo Kyiv,Defender,82,129,106,16,6,1,6,5,55.6
330,Suso,Sevilla,Forward,82,99,81,23,17,4,2,4,58.4
330,Serdar Saatçı,Beşiktaş,Defender,82,22,18,0,0,0,2,1,49.2
336,Antony,Ajax,Forward,81.9,322,262,18,27,5,2,7,56.34
337,Lacroix,Wolfsburg,Defender,81.8,284,232,0,0,0,22,6,49.08
337,Elia,Young Boys,Forward,81.8,118,96,7,14,1,2,6,51.88
337,Mæhle,Atalanta,Defender,81.8,217,184,0,8,0,0,5,49.08
340,Rakitskyy,Zenit,Defender,81.7,348,287,28,14,4,20,6,60.22
341,De Roon,Atalanta,Midfielder,81.5,298,245,0,1,0,6,6,48.9
341,Welinton,Beşiktaş,Defender,81.5,183,158,0,4,0,7,4,48.9
343,Bamba,LOSC,Forward,81.3,218,174,40,25,10,8,6,64.78
343,Dulanto,Sheriff,Defender,81.3,195,162,0,0,0,11,6,48.78
343,N'Sakala,Beşiktaş,Defender,81.3,161,134,41,12,5,0,3,65.18
343,Trigueros,Villarreal,Midfielder,81.3,142,116,0,2,0,4,9,48.78
343,João Félix,Atlético,Forward,81.3,160,131,50,2,1,0,8,68.78
343,Alan Patrick,Shakhtar Donetsk,Midfielder,81.3,153,127,50,4,2,4,4,68.78
349,Gulácsi,Leipzig,Goalkeeper,81.2,182,145,0,0,0,21,5,48.72
349,Mostovoy,Zenit,Midfielder,81.2,49,38,16,6,1,0,5,55.12
349,S. Thill,Sheriff,Midfielder,81.2,206,167,23,17,4,18,6,57.92
349,Laimer,Leipzig,Midfielder,81.2,187,149,16,6,1,4,6,55.12
349,Salah,Liverpool,Forward,81.2,426,346,9,11,1,1,13,52.32
354,Matić,Man. United,Midfielder,81.1,152,132,0,1,0,6,8,48.66
354,Martínez,Inter,Forward,81.1,121,97,0,1,0,0,8,48.66
354,Koke,Atlético,Midfielder,81.1,308,252,0,3,0,6,9,48.66
354,Robertson,Liverpool,Defender,81.1,628,512,25,63,16,22,10,58.66
354,Reinildo,LOSC,Defender,81.1,364,302,30,10,3,11,10,60.66
354,Grimaldo,Benfica,Defender,81.1,319,257,41,34,14,21,10,65.06
354,Foden,Man. City,Midfielder,81.1,287,238,26,23,6,3,11,59.06
361,Savić,Atlético,Defender,81,191,158,0,0,0,9,5,48.6
361,Weah,LOSC,Forward,81,66,51,25,4,1,0,5,58.6
361,Ballo,Milan,Defender,81,31,27,0,1,0,1,2,48.6
361,Celeadnic,Sheriff,Goalkeeper,81,31,25,0,0,0,2,1,48.6
365,Christiansen,Malmö,Midfielder,80.8,193,163,16,12,2,11,4,54.88
365,Haller,Ajax,Forward,80.8,162,134,0,0,0,0,8,48.48
367,Marcos Llorente,Atlético,Midfielder,80.7,249,212,10,10,1,1,9,52.42
367,Meraş,Beşiktaş,Defender,80.7,88,71,50,2,1,2,3,68.42
367,T. Hazard,Dortmund,Midfielder,80.7,66,54,33,6,2,1,3,61.62
370,Diogo Jota,Liverpool,Forward,80.5,234,189,0,1,0,0,11,48.3
370,Munir,Sevilla,Forward,80.5,49,41,100,1,1,1,4,88.3
372,Renato Sanches,LOSC,Midfielder,80.4,204,163,11,9,1,5,5,52.64
372,Peña,Malmö,Midfielder,80.4,170,138,20,5,1,6,5,56.24
372,Buyalskiy,Dynamo Kyiv,Midfielder,80.4,101,84,50,2,1,0,5,68.24
372,Fernando,Shakhtar Donetsk,Midfielder,80.4,77,63,0,1,0,0,5,48.24
376,Depay,Barcelona,Forward,80.3,254,203,37,40,15,8,6,62.98
376,Herrera,Paris,Midfielder,80.3,224,199,50,2,1,3,6,68.18
376,Dalot,Man. United,Defender,80.3,135,115,33,6,2,2,3,61.38
376,Xeka,LOSC,Midfielder,80.3,218,180,33,9,3,16,7,61.38
376,Loftus-Cheek,Chelsea,Forward,80.3,252,229,42,7,3,2,8,64.98
381,Brorsson,Malmö,Defender,80.2,163,139,0,0,0,4,5,48.12
382,Alexander-Arnold,Liverpool,Defender,80,685,556,29,81,24,28,9,59.6
382,Vranckx,Wolfsburg,Midfielder,80,95,77,50,6,3,1,4,68
382,Sergi Roberto,Barcelona,Midfielder,80,77,62,0,5,0,0,3,48
382,Alexis Sánchez,Inter,Forward,80,67,54,0,0,0,0,6,48
386,Shaw,Man. United,Defender,79.8,233,190,29,17,5,6,5,59.48
386,Garcia,Young Boys,Defender,79.8,226,184,30,23,7,6,5,59.88
386,Balanta,Club Brugge,Midfielder,79.8,155,124,0,2,0,1,5,47.88
386,L. Nmecha,Wolfsburg,Forward,79.8,66,50,0,1,0,0,5,47.88
386,Gilberto,Benfica,Defender,79.8,291,232,30,13,4,9,9,59.88
386,Griezmann,Atlético,Forward,79.8,191,151,42,7,3,1,9,64.68
386,Perišić,Inter,Midfielder,79.8,219,168,25,47,12,0,8,57.88
386,Szoboszlai,Leipzig,Midfielder,79.8,105,85,44,9,4,5,4,65.48
394,Carrasco,Atlético,Forward,79.7,148,117,21,14,3,11,7,56.22
395,Castañeda,Sheriff,Midfielder,79.6,90,73,25,8,2,1,5,57.76
395,Pašalić,Atalanta,Midfielder,79.6,71,57,0,1,0,1,5,47.76
397,Óliver Torres,Sevilla,Midfielder,79.5,122,105,20,5,1,2,4,55.7
397,Evanilson,Porto,Forward,79.5,72,58,0,1,0,0,4,47.7
397,Lukaku,Chelsea,Forward,79.5,61,49,75,4,3,0,6,77.7
400,Danilo,Paris,Midfielder,79.4,199,185,0,0,0,5,7,47.64
401,Lukebakio,Wolfsburg,Forward,79.3,70,53,50,2,1,0,6,67.58
401,Rieks,Malmö,Midfielder,79.3,68,55,0,1,0,1,3,47.58
403,Ocampos,Sevilla,Midfielder,79.2,165,133,21,19,4,1,6,55.92
404,Lewandowski,Bayern,Forward,79.1,206,163,10,10,1,1,10,51.46
405,Wöber,Salzburg,Defender,79,314,255,0,2,0,12,7,47.4
405,Mané,Liverpool,Midfielder,79,278,219,30,10,3,1,13,59.4
405,Perin,Juventus,Goalkeeper,79,19,15,0,0,0,0,1,47.4
408,Müller,Bayern,Forward,78.9,366,283,28,25,7,1,10,58.54
408,Giménez,Atlético,Defender,78.9,211,175,0,0,0,10,7,47.34
408,Morata,Juventus,Forward,78.9,137,108,0,4,0,0,7,47.34
